+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.316286;0.432154;0.19068;0.184188;0.0818652;0.373559;0;0;0;1;0;
0.396088;1.37131;0.185465;0.172779;0.106404;0.250831;0;0;0;1;0;
0.437116;1.3021;0.216076;0.175459;0.10584;0.180238;0;0;0;1;0;
0.404306;1.10764;0.232842;0.179096;0.124085;0.138793;0;0;0;1;0;
0.385063;0.948641;0.266196;0.175289;0.136039;0.102989;0;1;0;0;0;
0.372159;0.992519;0.247668;0.158781;0.160853;0.126724;0;1;0;0;0;
0.34623;1.02596;0.214528;0.129741;0.186277;0.161124;0;1;0;0;0;
0.331439;1.06169;0.185679;0.107677;0.219589;0.197564;0;1;0;0;0;
0.296289;1.08421;0.157823;0.0800722;0.238956;0.218981;0;1;0;0;0;
0.286543;1.11488;0.126482;0.0656359;0.20694;0.259493;0;0;0;1;0;
0.278461;1.00462;0.154109;0.0797003;0.171103;0.220433;0;0;0;1;0;
0.257301;0.919693;0.197821;0.0721968;0.151399;0.185973;0;0;0;1;0;
0.263856;0.842816;0.252778;0.0837868;0.133413;0.161823;0;0;0;1;0;
0.259519;0.797152;0.295899;0.099685;0.132286;0.142142;0;0;0;1;0;
0.281071;0.768595;0.291368;0.123338;0.118506;0.131886;0;0;0;1;0;
0.285579;0.230453;0.277753;0.163416;0.10798;0.13609;0;0;0;1;0;
0.300325;0.504296;0.265003;0.195802;0.109257;0.136234;0;0;0;1;0;
0.333179;0.720943;0.262165;0.239659;0.103487;0.121987;0;0;0;1;0;
0.364876;0.736134;0.258795;0.306805;0.107142;0.125292;0;0;0;1;0;
1.01442;0.731554;0.266375;0.279076;0.10882;0.141946;0;1;0;0;0;
0.997954;0.741939;0.235852;0.263321;0.114008;0.165789;0;1;0;0;0;
0.989727;0.730365;0.203465;0.224122;0.120793;0.184615;0;1;0;0;0;
0.288208;0.713843;0.179648;0.188988;0.13969;0.222215;0;1;0;0;0;
0.242052;0.719886;0.155692;0.171106;0.138223;0.253972;0;1;0;0;0;
0.208356;0.246939;0.117626;0.125396;0.148034;0.275072;0;1;0;0;0;
0.164021;0.369446;0.0932413;0.113723;0.14514;0.311759;0;1;0;0;0;
0.125524;0.507719;0.0702433;0.0790353;0.166883;0.327413;0;0;0;1;0;
0.151006;0.316907;0.0714919;0.0720343;0.167517;0.344984;0;0;0;1;0;
0.774069;0.21776;0.0905634;0.0585249;0.179956;0.364788;0;0;0;1;0;
0.735125;0.801287;0.0947052;0.0680013;0.199251;0.323444;0;0;0;1;0;
0.694135;0.686903;0.117208;0.0611467;0.219117;0.260501;0;0;0;1;0;
0.649482;0.59733;0.136397;0.074798;0.205475;0.220152;0;0;0;1;0;
0.638108;0.540554;0.160371;0.083969;0.177138;0.172767;0;0;0;1;0;
0.628092;0.481336;0.806439;0.0852294;0.161731;0.150074;0;0;0;1;0;
0.626431;0.454732;0.739686;0.104278;0.150612;0.144699;0;0;0;1;0;
0.643009;0.415221;0.690156;0.105437;0.142484;0.121111;0;0;0;1;0;
0.393424;0.402165;0.667371;0.123531;0.127495;0.105717;0;1;0;0;0;
0.438169;0.410121;0.63926;0.120343;0.116304;0.146749;0;1;0;0;0;
0.465008;0.420607;0.60732;0.112159;0.114568;0.172554;0;0;0;1;0;
0.301622;0.409944;0.590429;0.140053;0.106075;0.164786;0;0;0;1;0;
0.203416;0.394943;0.579017;0.760855;0.0961876;0.162647;0;0;0;1;0;
0.159644;0.401827;0.579586;0.696835;0.104775;0.150224;0;0;0;1;0;
0.124644;0.391018;0.565963;0.644617;0.105789;0.153863;0;1;0;0;0;
0.113747;0.391128;0.550527;0.615058;0.111998;0.189433;0;1;0;0;0;
0.113467;0.401364;0.518118;0.578529;0.106312;0.208939;0;1;0;0;0;
0.109725;0.381628;0.480893;0.554787;0.112311;0.242406;0;1;0;0;0;
0.106074;0.390227;0.467007;0.515327;0.106313;0.268909;0;1;0;0;0;
0.0955004;0.378136;0.439459;0.488341;0.120158;0.312291;0;1;0;0;0;
0.0863548;0.374616;0.397199;0.456884;0.119166;0.329499;0;1;0;0;0;
0.0897418;0.373439;0.36399;0.428998;0.960184;0.361095;0;1;0;0;0;
0.0802121;0.0470018;0.336051;0.39101;0.971988;0.392682;0;1;0;0;0;
0.0686383;0.0417318;0.319428;0.357911;0.978629;0.414515;0;1;0;0;0;
0.0741347;0.0415427;0.279879;0.335645;0.976039;0.440092;0;0;0;0;1;
0.0898555;0.0414681;0.289652;0.357878;0.961796;0.445076;0;0;0;0;1;
0.152629;0.0429737;0.290878;0.380476;0.984875;0.448969;0;0;0;0;1;
0.219652;0.0330264;0.300136;0.439921;0.274899;0.458052;0;1;0;0;0;
0.238467;0.0460397;0.254165;0.396596;0.419102;0.493266;0;1;0;0;0;
0.256453;0.058119;0.229677;0.360973;0.559218;0.506871;0;1;0;0;0;
0.224752;0.0459637;0.199864;0.317192;0.973798;0.547613;0;1;0;0;0;
0.177433;0.0554295;0.175924;0.282639;0.964233;0.580093;0;0;0;0;1;
0.176075;0.0566531;0.18537;0.32915;0.538369;0.591006;0;0;0;0;1;
0.168775;0.0731484;0.19616;0.394987;0.386064;0.6116;0;1;0;0;0;
0.153789;0.0804626;0.17073;0.34172;0.467382;0.642901;0;1;0;0;0;
0.112077;0.104215;0.135411;0.294579;0.523129;0.679251;0;0;0;0;1;
0.127816;0.106506;0.156437;0.38061;0.414428;0.714405;0;0;0;0;1;
0.11553;0.114121;0.173532;0.508764;0.333791;0.13443;0;0;0;0;1;
0.127362;0.14446;0.206096;0.7304;0.294742;0.100225;0;0;0;0;1;
0.136413;0.159836;0.225138;0.894494;0.261319;0.0912311;0;0;0;0;1;
0.127281;0.1766;0.246882;0.868237;0.237819;0.0848369;0;0;0;0;1;
0.138465;0.206361;0.294054;0.858514;0.212642;0.0786068;0;0;0;0;1;
0.167531;0.216901;0.363321;0.86168;0.216367;0.0606492;0;0;0;0;1;
0.17978;0.189242;0.46869;0.874318;0.282319;0.0625824;0;1;0;0;0;
0.168587;0.173147;0.440942;0.848369;0.220891;0.0747137;0;1;0;0;0;
0.13954;0.167395;0.425757;0.825081;0.218545;0.120412;0;1;0;0;0;
0.130809;0.161226;0.390514;0.785086;0.229161;0.132739;0;1;0;0;0;
0.11873;0.143953;0.36103;0.768839;0.241869;0.168705;0;1;0;0;0;
0.0980101;0.125654;0.337067;0.731606;0.248598;0.199727;0;1;0;0;0;
0.0887519;0.112962;0.29632;0.701425;0.259055;0.218839;0;1;0;0;0;
0.0775816;0.111903;0.276214;0.684932;0.284718;0.26373;0;1;0;0;0;
0.0713551;0.0923799;0.249275;0.647506;0.294163;0.296591;0;1;0;0;0;
0.0427921;0.0841687;0.206959;0.62584;0.295386;0.307086;0;0;0;0;1;
0.0575584;0.0663296;0.332842;0.640383;0.282465;0.290189;0;0;0;0;1;
0.0845184;0.0671745;0.55199;0.669305;0.286417;0.289057;0;0;0;0;1;
0.106036;0.0580333;0.622573;0.707256;0.271233;0.28296;0;0;0;0;1;
0.152031;0.0560026;0.61482;0.762527;0.27212;0.283747;0;0;0;0;1;
0.202598;0.0749971;0.634575;0.826409;0.278147;0.280009;0;0;0;0;1;
0.30021;0.0586897;0.632475;0.378437;0.279863;0.280844;0;1;0;0;0;
0.31492;0.0721324;0.602735;0.377041;0.269999;0.316196;0;1;0;0;0;
0.347363;0.0711542;0.580562;0.367858;0.27101;0.350942;0;1;0;0;0;
0.357233;0.0890464;0.56069;0.805933;0.264135;0.37663;0;1;0;0;0;
